idx,BKS,VBF,PIP,VFY,WJZ,FJJ,IYB,BHM,SWA,AZE,HLJ,ZMT,FZK,PCW,UPL,BWV,SYQ,ZNO,YTP,YWM,MHI,RKP,LSI,DZZ,BHT,target
1,-1.2259142052053493,9.111582317356747,-1.5211309619456055,-1.8697389590398672,5.1470968561044526,8.34356439569739,9.853687694139197,0.44758269940418277,A,7.074996972880001,6.7736494515863495,D,2.812448624315405,5.0439516925322145,4.4986948150175206,C,1.9830853686672933,0.07174570019730907,4.850304720027365,0.10557791557040996,A,7.498982442162746,J,4.587566583531884,2.520033922429844,2.6394449863394174
2,-2.845407896141814,6.57641504495794,-3.232919668886325,0.5754034191457666,5.51707196462224,7.471084827121265,6.14685816823934,0.024392986457108235,A,6.315788328711129,5.937750538990556,D,3.4325457543475077,4.977119181123679,4.879944040696811,C,2.081257522213352,0.048497883395377764,5.952896312675869,0.09021410077807028,B,7.617734042150948,N,3.9676593334072425,-2.7145842159025197,3.4144871537333454
3,6.862919543333574,6.457075531264521,-2.811626190377163,-1.3826145527433134,9.662476562181949,8.128155910233692,5.823166975813286,0.05107608340446991,B,6.19432272134023,6.680862722892901,D,3.1258293899703165,3.9840139080340204,6.526542620610028,I,2.033316561959604,0.100426862040632,5.437720152954423,0.07679747782515671,A,7.337954195466726,M,4.718342381708709,19.694413669794987,4.68240103409603
4,-3.7455089273762057,5.296164421308481,9.332538727037676,-2.3251288763268736,1.3888124569929872,4.881619933281431,5.868878042130038,0.06026879351119776,A,5.928389316235012,5.216377022635195,C,3.3493564028556517,2.9931087340225577,4.086413967981246,H,5.001501081405878,0.011553336117608014,4.749666256286613,0.26253615506087397,C,7.819153989523227,B,3.230722926374054,-2.6532677771129034,2.2628095889091244
5,0.27724350730144803,7.677140307775884,-0.44101324105045037,0.14434327676607972,3.6556002586993497,7.0272458812981995,8.699432284508505,0.7619106358262346,B,8.097034284478775,6.7003177227764725,A,2.8592886296968434,3.039295603920664,4.264935510113362,J,3.993859736517377,0.15171415047078646,5.486192539131631,0.05225485715795814,A,7.260536769170563,I,4.63904060066827,0.5398321686512645,2.821218067937638
6,-2.070466066916529,0.3771969376560442,-1.4593686901314853,0.20199426513342456,7.70582695799405,-1.7564229344157023,1.5236752412800016,0.4505342465476439,A,0.3998735904993463,0.7579827006731926,C,2.05358861376729,1.0429409724330356,6.5818520570003525,J,1.957467896201785,0.21486839086354506,5.098803072718485,0.05253331881005,C,7.129667658979483,M,6.334711415209663,-2.6406229207079868,2.8761231781069774
7,-3.6371631610916344,0.15595504840634766,-1.781444076281263,-1.750205717103905,14.790452752201436,0.846414128515232,-1.68542291216965,0.04049510895219569,B,0.17993841301783947,0.08175526235254625,A,3.651045640059885,4.021119987711611,5.091165748196558,C,3.021528666636694,0.061155495202254655,4.608600053870128,0.042735863698780144,B,7.6110020920382375,A,3.519358464564638,5.242943106427323,4.830152279417591
8,-2.4243609206370764,-0.3750907080850686,0.7463189984146277,-2.27911386726303,5.936344163673254,0.8536521153391347,-0.7859590346929268,0.14107555704343266,B,-0.7128068847417866,0.34339701662769173,B,3.5000875082988347,4.982942885387189,4.587103204713778,B,4.009211162741766,0.08693233206630245,5.703418808226018,0.20333875499228976,B,7.433278609062698,D,5.112739266588938,-3.3780248438604246,2.0594534262766935
9,1.1270179063569394,-1.5309189509313388,-1.1795149103693672,-1.3773254712417222,2.822838798468385,-0.8054846035543023,0.7639827329798444,0.20341568725913978,A,0.4332620992077382,0.42306201008440925,E,3.0380267959566614,5.033817341690316,4.65493057220874,I,4.947588468658815,0.06260230069646293,6.181215809886849,0.1883480475322145,B,7.519851487512146,K,4.145565250882127,-0.6666503328069036,2.6549113767575356
10,-2.8876163586889962,0.7222924987597598,1.976841441477975,0.008413882175184906,5.999681361153147,-0.43175508740754154,2.038511331630043,0.44831690490718573,A,-0.2949663791660042,0.2142466355983793,A,2.606251751400789,5.001971851071132,5.899743270593007,H,5.000856461624929,0.2723993440741332,4.878191705832468,0.04054820930866761,C,7.134783941065143,L,6.393037775914593,-0.8038990121615843,3.7132199664258243
11,-2.2452937438823564,-0.1355668488581849,-3.5656929972184814,-1.6486553522733534,7.545075543827801,-0.38651501074671946,0.29893753857753785,0.1201332281757475,A,0.6368783633893157,0.682076777318779,E,2.620720407321049,0.9934001719198298,5.775627924492954,G,3.0115821577154667,0.14089546207119255,5.554938311820203,0.0465243038745958,B,7.250304204999244,I,5.062059992318114,8.390569012551305,1.9205706913704845
12,-0.591612097527292,0.2944251938829979,-0.46545813224594007,0.3183540581684319,7.737292422187356,1.2015116731593993,-0.7884367467259943,0.07492928570341353,B,0.7283767283824581,-0.44258093621114913,A,3.397399458718231,2.964669307519043,5.583269236568044,H,2.0641053491802346,0.06805657614030378,5.324088307402989,0.03704645797431213,B,7.605347253943561,H,3.644148559902524,0.5943272501446555,4.440382158369866
13,-2.1601910497320578,-0.2585870026003595,-2.6331632149026802,-1.4889250909252976,9.413837342607813,0.596015564148058,-1.3445889540712441,0.02324024045109532,A,-0.5893885174747149,-0.28258907096187824,B,3.8395239604821425,4.0374493087025805,4.0977961332146755,C,3.02345933270561,0.010061055713700322,5.529116172160051,0.38496676635956983,B,7.859007134190469,E,3.21851320477841,1.7976807416134688,2.061598337084865
14,-1.2015116035815128,-0.19910379873026726,-0.7362852527538586,-2.598574389959141,3.1318471793607103,-2.706958072412599,0.1925093965280148,0.046080606304369096,B,-1.682094748149956,-1.1563638278359882,A,3.1239320817684666,4.93946716782238,4.704108158691245,J,3.114523107749599,0.020303742845872774,5.128683413286222,0.3711925818385934,C,7.7879177410002525,M,3.348038194004724,-2.0265607659348763,2.4581976238198155
15,-2.848875931824347,0.1594780278515416,-2.6491334999804326,-2.822302537476451,9.656662669602909,-2.2437811532170127,-1.4655435500161136,0.2720724370449011,B,-1.5733213603206633,-0.665373437067695,A,3.5926894869383617,3.0227131612057185,4.030693904138411,H,1.0726831365260798,0.011534563961974956,4.780646030765817,0.25415043359159084,C,7.859814968203994,J,3.194336355181011,1.496533502311208,2.149655546990184
16,-1.5851171874456682,0.36887371354783893,0.9537333928766226,-1.0964752435072271,3.7518798760653413,1.6611033776668185,-0.0015258926763662113,0.049978716901571074,A,0.654546275112403,-0.49833370970784885,C,3.1548354089975716,3.9102500715173214,5.077181181355862,A,1.9475575898907254,0.06781271512409612,5.062143603110261,0.07929686423749918,A,7.530622607692482,D,4.243090919355956,1.6630456534215488,4.770083068550815
